depth,size
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
4,62
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
1,500
2,250
3,125
4,63
5,32
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
4,62
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
3,125
4,63
5,32
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
4,62
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
2,250
3,125
4,63
5,32
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
4,62
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
3,125
4,63
5,32
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
4,62
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
5,31
6,16
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,8
8,4
9,2
9,2
8,4
9,2
9,2
6,15
7,8
8,4
9,2
9,2
8,4
9,2
9,2
7,7
8,4
9,2
9,2
8,3
9,2
